productid,link,product_title,price,actual_price,ratings,color
224,https://www.daraz.com.np/products/asus-vivobook-x513e-11th-gen-core-i3-1115g4-processor-4gb-ram-256gb-ssd-156a-full-hd-1920x1080-60hz-display-windows-11-genuine-fingerprintabbsy-blue-i117893716.html,"Asus VivoBook X513E 11th Gen Core i3-1115G4 Processor, 4GB RAM, 256GB SSD, 15.6â Full HD (1920x1080) 60Hz Display Windows 11 Genuine Fingerprint,Abbsy Blue","Rs. 46,900","Rs. 53,000",No Ratings,Blue
226,https://www.daraz.com.np/products/dell-vostro-14-3430-13th-gen-i3-1305u-8gb-512-ssd-1yrs-warranty-i129113605.html,"DELL VOSTRO 14"" 3430 | 13th gen I3-1305U | 8GB | 512 SSD | 1yrs warranty","Rs. 68,500","Rs. 70,000",No Ratings,Silver
229,https://www.daraz.com.np/products/lenovo-laptop-v15-g4-core-i513th-gen-13420h-8gb-ram-512ssd-gb-156-fhd-display-win-11-i136724027.html,Lenovo Laptop V15 G4 CORE i5/13th gen / 13420H/ 8GB RAM-512SSD GB 15.6 FHD Display - win 11,"Rs. 72,999","Rs. 93,000",No Ratings,Light Black
232,https://www.daraz.com.np/products/acer-aspire-3-amd-ryzen-5-7520u-8gb-ram-512gb-ssd-156-fhd-integrated-amd-graphics-silver-dos-i128951538.html,"Acer aspire 3 AMD Ryzen 5 7520U, 8GB RAM, 512GB SSD, 15.6 FHD, Integrated AMD Graphics, Silver, DOS","Rs. 60,900","Rs. 65,900",No Ratings,Grey
233,https://www.daraz.com.np/products/acer-aspire-3-i5-11th-gen-8gb-ram-512gb-ssd-156fhd-i128105489.html,Acer Aspire 3 I5-11th Gen-8GB RAM-512GB SSD -15.6FHD,"Rs. 65,996","Rs. 73,000",No Ratings,Silver
237,https://www.daraz.com.np/products/newly-lunched-lenovo-yoga-6-13alc6-touch-screen-360-degree-rotate-5500u-21g-8gb-ram-256gb-ssd-133-hd-i119236008.html,Newly lunched-Lenovo Yoga 6 13ALC6 Touch Screen 360 Degree Rotate 5500U 2.1G 8GB RAM 256GB SSD 13.3″ HD,"Rs. 109,990","Rs. 120,000",No Ratings,Dark blue
238,https://www.daraz.com.np/products/lenovo-v15-intel-celeron-processor-4-gb-ram-128-gb-ssd-156-inch-black-i125363116.html,Lenovo V15 Intel Celeron Processor 4 GB RAM 128 GB SSD 15.6 inch Black,"Rs. 35,000","Rs. 42,000",No Ratings,Black
239,https://www.daraz.com.np/products/dell-lattitude-344012th-gen-i5-processor8gb-ram512gb-ssdbacklit3yrs-warranty-i147745582.html,Dell Lattitude 3440/12th Gen i5 Processor/8GB RAM/512GB SSD/Backlit/3yrs Warranty,"Rs. 74,999","Rs. 88,000",No Ratings,Black
240,https://www.daraz.com.np/products/asus-vivo-book-x1402z-core-i5-12th-gen8gb-ram512-gb-ssd14-fhd-displaymagic-numpad-win-11-i128898725.html,"ASUS Vivo Book X1402Z Core i5 12th Gen/8GB RAM/512 GB SSD/14"" FHD Display/Magic Numpad/ Win 11","Rs. 73,990","Rs. 92,000",No Ratings,Silver
243,https://www.daraz.com.np/products/acer-aspire-go-14-amd-ryzen-5-7520u-8-gb-ddr5-ram-512gb-ssd14-wuxga-win-11-i134994004.html,"Acer Aspire GO 14 AMD Ryzen 5 - 7520U / 8 GB DDR5 RAM/ 512GB SSD/14"" WUXGA / Win 11","Rs. 68,990","Rs. 78,990",No Ratings,Pure Silver
